starting_times,source_nodes,target_nodes,ending_times,durations
0.0,193,203,20.0,20.0
0.0,194,206,20.0,20.0
0.0,194,203,20.0,20.0
0.0,201,204,20.0,20.0
0.0,205,206,20.0,20.0
0.0,206,204,20.0,20.0
0.0,206,195,20.0,20.0
0.0,203,195,20.0,20.0
0.0,159,155,20.0,20.0
0.0,162,146,20.0,20.0
0.0,23,25,20.0,20.0
0.0,88,92,20.0,20.0
20.0,150,154,40.0,20.0
20.0,159,155,40.0,20.0
20.0,126,131,40.0,20.0
20.0,54,48,40.0,20.0
20.0,162,146,40.0,20.0
20.0,184,177,40.0,20.0
20.0,23,25,40.0,20.0
20.0,88,92,40.0,20.0
20.0,106,104,40.0,20.0
20.0,79,84,40.0,20.0
20.0,1,17,40.0,20.0
20.0,18,10,40.0,20.0
20.0,12,9,40.0,20.0
20.0,117,113,40.0,20.0
20.0,118,100,40.0,20.0
20.0,171,180,40.0,20.0
40.0,150,154,60.0,20.0
40.0,159,155,60.0,20.0
40.0,126,131,60.0,20.0
40.0,162,146,60.0,20.0
40.0,43,33,60.0,20.0
40.0,23,25,60.0,20.0
40.0,39,47,60.0,20.0
40.0,88,92,60.0,20.0
40.0,101,107,60.0,20.0
40.0,109,111,60.0,20.0
40.0,79,84,60.0,20.0
40.0,18,10,60.0,20.0
40.0,12,9,60.0,20.0
40.0,117,113,60.0,20.0
60.0,159,155,80.0,20.0
60.0,126,131,80.0,20.0
60.0,54,48,80.0,20.0
60.0,162,146,80.0,20.0
60.0,43,33,80.0,20.0
60.0,23,32,80.0,20.0
60.0,26,37,80.0,20.0
60.0,41,35,80.0,20.0
60.0,41,29,80.0,20.0
60.0,35,29,80.0,20.0
60.0,88,92,80.0,20.0
60.0,106,117,80.0,20.0
60.0,98,115,80.0,20.0
60.0,79,84,80.0,20.0
60.0,1,17,80.0,20.0
60.0,18,10,80.0,20.0
60.0,12,9,80.0,20.0
60.0,165,166,80.0,20.0
60.0,169,168,80.0,20.0
60.0,170,164,80.0,20.0
60.0,179,166,80.0,20.0
80.0,210,224,100.0,20.0
80.0,150,154,100.0,20.0
80.0,159,155,100.0,20.0
80.0,126,131,100.0,20.0
80.0,52,68,100.0,20.0
80.0,162,146,100.0,20.0
80.0,23,25,100.0,20.0
80.0,23,32,100.0,20.0
80.0,41,29,100.0,20.0
80.0,36,39,100.0,20.0
80.0,88,92,100.0,20.0
80.0,106,116,100.0,20.0
80.0,79,84,100.0,20.0
80.0,1,17,100.0,20.0
80.0,18,10,100.0,20.0
80.0,12,9,100.0,20.0
80.0,169,175,100.0,20.0
80.0,104,113,100.0,20.0
80.0,170,164,100.0,20.0
100.0,217,229,120.0,20.0
100.0,217,227,120.0,20.0
100.0,209,231,120.0,20.0
100.0,229,231,120.0,20.0
100.0,159,155,120.0,20.0
100.0,126,131,120.0,20.0
100.0,162,146,120.0,20.0
100.0,43,33,120.0,20.0
100.0,23,25,120.0,20.0
100.0,23,32,120.0,20.0
100.0,24,31,120.0,20.0
100.0,25,45,120.0,20.0
100.0,42,36,120.0,20.0
100.0,37,236,120.0,20.0
100.0,88,92,120.0,20.0
100.0,106,116,120.0,20.0
100.0,106,119,120.0,20.0
100.0,101,97,120.0,20.0
100.0,102,119,120.0,20.0
100.0,109,111,120.0,20.0
100.0,109,113,120.0,20.0
100.0,79,84,120.0,20.0
100.0,115,110,120.0,20.0
100.0,18,10,120.0,20.0
100.0,12,9,120.0,20.0
100.0,178,182,120.0,20.0
120.0,219,212,140.0,20.0
120.0,229,231,140.0,20.0
120.0,159,155,140.0,20.0
120.0,126,131,140.0,20.0
120.0,54,48,140.0,20.0
120.0,43,33,140.0,20.0
120.0,23,32,140.0,20.0
120.0,24,31,140.0,20.0
120.0,25,37,140.0,20.0
120.0,25,236,140.0,20.0
120.0,42,34,140.0,20.0
120.0,42,36,140.0,20.0
120.0,41,29,140.0,20.0
120.0,41,47,140.0,20.0
120.0,34,36,140.0,20.0
120.0,37,236,140.0,20.0
120.0,96,95,140.0,20.0
120.0,96,75,140.0,20.0
120.0,81,91,140.0,20.0
120.0,98,114,140.0,20.0
120.0,98,119,140.0,20.0
120.0,99,109,140.0,20.0
120.0,99,116,140.0,20.0
120.0,99,113,140.0,20.0
120.0,102,119,140.0,20.0
120.0,109,116,140.0,20.0
120.0,79,84,140.0,20.0
120.0,77,90,140.0,20.0
120.0,20,7,140.0,20.0
120.0,29,47,140.0,20.0
120.0,18,10,140.0,20.0
120.0,12,9,140.0,20.0
120.0,111,103,140.0,20.0
120.0,171,168,140.0,20.0
120.0,110,104,140.0,20.0
120.0,170,179,140.0,20.0
120.0,179,166,140.0,20.0
140.0,219,212,160.0,20.0
140.0,210,224,160.0,20.0
140.0,217,229,160.0,20.0
140.0,209,230,160.0,20.0
140.0,220,221,160.0,20.0
140.0,229,231,160.0,20.0
140.0,144,142,160.0,20.0
140.0,126,131,160.0,20.0
140.0,133,129,160.0,20.0
140.0,54,48,160.0,20.0
140.0,183,182,160.0,20.0
140.0,43,33,160.0,20.0
140.0,23,32,160.0,20.0
140.0,25,35,160.0,20.0
140.0,25,236,160.0,20.0
140.0,28,37,160.0,20.0
140.0,31,34,160.0,20.0
140.0,31,35,160.0,20.0
140.0,31,236,160.0,20.0
140.0,42,36,160.0,20.0
140.0,35,236,160.0,20.0
140.0,39,47,160.0,20.0
140.0,96,95,160.0,20.0
140.0,96,75,160.0,20.0
140.0,81,91,160.0,20.0
